,Demographic,DBN,School Name,Cohort,Total Cohort,Total Grads - n,Total Grads - % of cohort,Total Regents - n,Total Regents - % of cohort,Total Regents - % of grads,Advanced Regents - n,Advanced Regents - % of cohort,Advanced Regents - % of grads,Regents w/o Advanced - n,Regents w/o Advanced - % of cohort,Regents w/o Advanced - % of grads,Local - n,Local - % of cohort,Local - % of grads,Still Enrolled - n,Still Enrolled - % of cohort,Dropped Out - n,Dropped Out - % of cohort,BORO,District,Income,y
1695,Total Cohort,20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,2006,859,483,56.2,354,41.2,73.3,148,17.2,30.6,206,24.0,42.7,129,15.0,26.7,165,19.2,193,22.5,K,20,63782,
1696,Total Cohort,22K405,MIDWOOD HIGH SCHOOL,2001,869,681,78.4,610,70.2,89.6,430,49.5,63.1,180,20.7,26.4,71,8.2,10.4,145,16.7,39,4.5,K,22,53997,82.5
1697,Total Cohort,22K405,MIDWOOD HIGH SCHOOL,2002,750,619,82.5,585,78.0,94.5,383,51.1,61.9,202,26.9,32.6,34,4.5,5.5,107,14.3,17,2.3,K,22,53997,78.0
1698,Total Cohort,22K405,MIDWOOD HIGH SCHOOL,2003,941,734,78.0,669,71.1,91.1,473,50.3,64.4,196,20.8,26.7,65,6.9,8.9,154,16.4,48,5.1,K,22,53997,79.4
1699,Total Cohort,22K405,MIDWOOD HIGH SCHOOL,2004,939,746,79.4,678,72.2,90.9,459,48.9,61.5,219,23.3,29.4,68,7.2,9.1,142,15.1,48,5.1,K,22,53997,82.2
1700,Total Cohort,22K405,MIDWOOD HIGH SCHOOL,2005,793,652,82.2,583,73.5,89.4,368,46.4,56.4,215,27.1,33.0,69,8.7,10.6,108,13.6,23,2.9,K,22,53997,92.1
1701,Total Cohort,22K405,MIDWOOD HIGH SCHOOL,2006,872,803,92.1,741,85.0,92.3,505,57.9,62.9,236,27.1,29.4,62,7.1,7.7,54,6.2,11,1.3,K,22,53997,
1702,Total Cohort,22K425,JAMES MADISON HIGH SCHOOL,2001,942,592,62.8,512,54.4,86.5,271,28.8,45.8,241,25.6,40.7,81,8.6,13.7,157,16.7,187,19.9,K,22,53997,63.6
1703,Total Cohort,22K425,JAMES MADISON HIGH SCHOOL,2002,1018,647,63.6,585,57.5,90.4,269,26.4,41.6,316,31.0,48.8,62,6.1,9.6,201,19.7,158,15.5,K,22,53997,64.0
1704,Total Cohort,22K425,JAMES MADISON HIGH SCHOOL,2003,1019,652,64.0,545,53.5,83.6,262,25.7,40.2,283,27.8,43.4,107,10.5,16.4,181,17.8,175,17.2,K,22,53997,66.0
1705,Total Cohort,22K425,JAMES MADISON HIGH SCHOOL,2004,1062,701,66.0,548,51.6,78.2,239,22.5,34.1,309,29.1,44.1,153,14.4,21.8,206,19.4,149,14.0,K,22,53997,65.8
1706,Total Cohort,22K425,JAMES MADISON HIGH SCHOOL,2005,925,609,65.8,526,56.9,86.4,227,24.5,37.3,299,32.3,49.1,83,9.0,13.6,181,19.6,127,13.7,K,22,53997,70.40000000000002
1707,Total Cohort,22K425,JAMES MADISON HIGH SCHOOL,2006,1076,757,70.40000000000002,673,62.5,88.9,246,22.9,32.5,427,39.7,56.4,84,7.8,11.1,156,14.5,149,13.8,K,22,53997,
1708,Total Cohort,22K495,SHEEPSHEAD BAY HIGH SCHOOL,2001,656,302,46.0,156,23.8,51.7,67,10.2,22.2,89,13.6,29.5,146,22.3,48.3,239,36.4,100,15.2,K,22,53997,47.8
1709,Total Cohort,22K495,SHEEPSHEAD BAY HIGH SCHOOL,2002,808,386,47.8,236,29.2,61.1,65,8.0,16.8,171,21.2,44.3,150,18.6,38.9,304,37.6,90,11.1,K,22,53997,48.1
1710,Total Cohort,22K495,SHEEPSHEAD BAY HIGH SCHOOL,2003,771,371,48.1,214,27.8,57.7,66,8.6,17.8,148,19.2,39.9,157,20.4,42.3,246,31.9,124,16.1,K,22,53997,49.7
1711,Total Cohort,22K495,SHEEPSHEAD BAY HIGH SCHOOL,2004,755,375,49.7,196,26.0,52.3,37,4.9,9.9,159,21.1,42.4,179,23.7,47.7,225,29.8,139,18.4,K,22,53997,52.8
1712,Total Cohort,22K495,SHEEPSHEAD BAY HIGH SCHOOL,2005,670,354,52.8,182,27.2,51.4,33,4.9,9.3,149,22.2,42.1,172,25.7,48.6,153,22.8,134,20.0,K,22,53997,63.7
1713,Total Cohort,22K495,SHEEPSHEAD BAY HIGH SCHOOL,2006,537,342,63.7,226,42.1,66.1,50,9.3,14.6,176,32.8,51.5,116,21.6,33.9,63,11.7,116,21.6,K,22,53997,
1714,Total Cohort,22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE,2001,172,127,73.8,78,45.3,61.4,0,0.0,0.0,78,45.3,61.4,49,28.5,38.6,34,19.8,11,6.4,K,22,53997,78.9
1715,Total Cohort,22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE,2002,190,150,78.9,76,40.0,50.7,0,0.0,0.0,76,40.0,50.7,74,38.9,49.3,28,14.7,9,4.7,K,22,53997,82.8
1716,Total Cohort,22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE,2003,204,169,82.8,144,70.6,85.2,3,1.5,1.8,141,69.1,83.4,25,12.3,14.8,26,12.7,9,4.4,K,22,53997,83.8
1717,Total Cohort,22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE,2004,259,217,83.8,194,74.9,89.4,110,42.5,50.7,84,32.4,38.7,23,8.9,10.6,29,11.2,13,5.0,K,22,53997,84.5
1718,Total Cohort,22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE,2005,213,180,84.5,161,75.59999999999998,89.4,107,50.2,59.4,54,25.4,30.0,19,8.9,10.6,26,12.2,5,2.3,K,22,53997,97.2
1719,Total Cohort,22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE,2006,253,246,97.2,242,95.7,98.4,195,77.09999999999998,79.3,47,18.6,19.1,4,1.6,1.6,2,0.8,5,2.0,K,22,53997,
1720,Total Cohort,22K555,BROOKLYN COLLEGE ACADEMY,2001,121,102,84.3,69,57.0,67.6,19,15.7,18.6,50,41.3,49.0,33,27.3,32.4,17,14.0,2,1.7,K,22,53997,86.4
1721,Total Cohort,22K555,BROOKLYN COLLEGE ACADEMY,2002,125,108,86.4,87,69.6,80.59999999999998,28,22.4,25.9,59,47.2,54.6,22,17.6,20.4,10,8.0,4,3.2,K,22,53997,86.2
1722,Total Cohort,22K555,BROOKLYN COLLEGE ACADEMY,2003,138,119,86.2,100,72.5,84.0,28,20.3,23.5,72,52.2,60.5,19,13.8,16.0,15,10.9,2,1.4,K,22,53997,94.2
1723,Total Cohort,22K555,BROOKLYN COLLEGE ACADEMY,2004,120,113,94.2,90,75.0,79.59999999999998,23,19.2,20.4,67,55.8,59.3,23,19.2,20.4,6,5.0,1,0.8,K,22,53997,95.2
1724,Total Cohort,22K555,BROOKLYN COLLEGE ACADEMY,2005,124,118,95.2,104,83.9,88.1,19,15.3,16.1,85,68.5,72.0,14,11.3,11.9,6,4.8,0,0.0,K,22,53997,96.7
1725,Total Cohort,22K555,BROOKLYN COLLEGE ACADEMY,2006,120,116,96.7,108,90.0,93.1,25,20.8,21.6,83,69.2,71.6,8,6.7,6.9,4,3.3,0,0.0,K,22,53997,
1726,Total Cohort,23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD,2002,1,s,,s,,,s,,,s,,,s,,,s,,s,,K,23,29125,
1727,Total Cohort,23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD,2003,2,s,,s,,,s,,,s,,,s,,,s,,s,,K,23,29125,76.9
1728,Total Cohort,23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD,2004,65,50,76.9,22,33.8,44.0,3,4.6,6.0,19,29.2,38.0,28,43.1,56.0,14,21.5,1,1.5,K,23,29125,67.7
1729,Total Cohort,23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD,2005,62,42,67.7,26,41.9,61.9,1,1.6,2.4,25,40.3,59.5,16,25.8,38.1,16,25.8,1,1.6,K,23,29125,68.6
1730,Total Cohort,23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD,2006,70,48,68.6,31,44.3,64.6,3,4.3,6.3,28,40.0,58.3,17,24.3,35.4,15,21.4,5,7.1,K,23,29125,
1731,Total Cohort,23K514,FREDERICK DOUGLASS ACADEMY VII HIGH S,2001,1,s,,s,,,s,,,s,,,s,,,s,,s,,K,23,29125,
1732,Total Cohort,23K514,FREDERICK DOUGLASS ACADEMY VII HIGH S,2002,1,s,,s,,,s,,,s,,,s,,,s,,s,,K,23,29125,
1733,Total Cohort,23K514,FREDERICK DOUGLASS ACADEMY VII HIGH S,2004,98,66,67.3,48,49.0,72.7,12,12.2,18.2,36,36.7,54.5,18,18.4,27.3,28,28.6,3,3.1,K,23,29125,77.4
1734,Total Cohort,23K514,FREDERICK DOUGLASS ACADEMY VII HIGH S,2005,93,72,77.4,48,51.6,66.7,13,14.0,18.1,35,37.6,48.6,24,25.8,33.3,18,19.4,1,1.1,K,23,29125,72.8
1735,Total Cohort,23K514,FREDERICK DOUGLASS ACADEMY VII HIGH S,2006,92,67,72.8,46,50.0,68.7,8,8.7,11.9,38,41.3,56.7,21,22.8,31.3,18,19.6,6,6.5,K,23,29125,
1736,Total Cohort,23K643,BROOKLYN DEMOCRACY ACADEMY,2005,56,3,5.4,3,5.4,100.0,0,0.0,0.0,3,5.4,100.0,0,0.0,0.0,49,87.5,4,7.1,K,23,29125,29.9
1737,Total Cohort,23K643,BROOKLYN DEMOCRACY ACADEMY,2006,97,29,29.9,12,12.4,41.4,0,0.0,0.0,12,12.4,41.4,17,17.5,58.6,55,56.7,11,11.3,K,23,29125,
1738,Total Cohort,23K645,EBC/ENY HIGH SCHOOL FOR PUBLIC SAFETY,2001,102,43,42.2,11,10.8,25.6,0,0.0,0.0,11,10.8,25.6,32,31.4,74.4,44,43.1,12,11.8,K,23,29125,41.3
1739,Total Cohort,23K645,EBC/ENY HIGH SCHOOL FOR PUBLIC SAFETY,2002,92,38,41.3,8,8.7,21.1,0,0.0,0.0,8,8.7,21.1,30,32.6,78.9,34,37.0,12,13.0,K,23,29125,48.1
1740,Total Cohort,23K645,EBC/ENY HIGH SCHOOL FOR PUBLIC SAFETY,2003,106,51,48.1,19,17.9,37.3,1,0.9,2.0,18,17.0,35.3,32,30.2,62.7,39,36.8,13,12.3,K,23,29125,51.9
1741,Total Cohort,23K645,EBC/ENY HIGH SCHOOL FOR PUBLIC SAFETY,2004,106,55,51.9,24,22.6,43.6,2,1.9,3.6,22,20.8,40.0,31,29.2,56.4,27,25.5,21,19.8,K,23,29125,47.5
1742,Total Cohort,23K645,EBC/ENY HIGH SCHOOL FOR PUBLIC SAFETY,2005,101,48,47.5,25,24.8,52.1,1,1.0,2.1,24,23.8,50.0,23,22.8,47.9,25,24.8,24,23.8,K,23,29125,55.9
1743,Total Cohort,23K645,EBC/ENY HIGH SCHOOL FOR PUBLIC SAFETY,2006,93,52,55.9,33,35.5,63.5,1,1.1,1.9,32,34.4,61.5,19,20.4,36.5,24,25.8,14,15.1,K,23,29125,
1744,Total Cohort,23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,2005,53,3,5.7,2,3.8,66.7,0,0.0,0.0,2,3.8,66.7,1,1.9,33.3,45,84.9,4,7.5,K,23,29125,13.7
1745,Total Cohort,23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,2006,117,16,13.7,7,6.0,43.8,0,0.0,0.0,7,6.0,43.8,9,7.7,56.3,64,54.7,34,29.1,K,23,29125,
1746,Total Cohort,23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,2005,55,6,10.9,5,9.1,83.3,0,0.0,0.0,5,9.1,83.3,1,1.8,16.7,46,83.6,2,3.6,K,23,29125,25.8
1747,Total Cohort,23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,2006,97,25,25.8,11,11.3,44.0,0,0.0,0.0,11,11.3,44.0,14,14.4,56.0,51,52.6,16,16.5,K,23,29125,
1748,Total Cohort,23K697,TEACHERS PREPARATORY HIGH SCHOOL,2002,70,54,77.09999999999998,45,64.3,83.3,10,14.3,18.5,35,50.0,64.8,9,12.9,16.7,13,18.6,2,2.9,K,23,29125,71.8
1749,Total Cohort,23K697,TEACHERS PREPARATORY HIGH SCHOOL,2003,78,56,71.8,28,35.9,50.0,9,11.5,16.1,19,24.4,33.9,28,35.9,50.0,12,15.4,10,12.8,K,23,29125,80.9
1750,Total Cohort,23K697,TEACHERS PREPARATORY HIGH SCHOOL,2004,94,76,80.9,52,55.3,68.4,12,12.8,15.8,40,42.6,52.6,24,25.5,31.6,12,12.8,4,4.3,K,23,29125,73.59999999999998
1751,Total Cohort,23K697,TEACHERS PREPARATORY HIGH SCHOOL,2005,121,89,73.59999999999998,71,58.7,79.8,19,15.7,21.3,52,43.0,58.4,18,14.9,20.2,23,19.0,5,4.1,K,23,29125,73.7
1752,Total Cohort,23K697,TEACHERS PREPARATORY HIGH SCHOOL,2006,99,73,73.7,61,61.6,83.6,16,16.2,21.9,45,45.5,61.6,12,12.1,16.4,13,13.1,3,3.0,K,23,29125,
1753,Total Cohort,25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,2004,88,57,64.8,30,34.1,52.6,0,0.0,0.0,30,34.1,52.6,27,30.7,47.4,25,28.4,6,6.8,Q,25,64493,57.6
1754,Total Cohort,25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,2005,99,57,57.6,37,37.4,64.9,0,0.0,0.0,37,37.4,64.9,20,20.2,35.1,35,35.4,7,7.1,Q,25,64493,61.6
1755,Total Cohort,25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,2006,86,53,61.6,38,44.2,71.7,0,0.0,0.0,38,44.2,71.7,15,17.4,28.3,24,27.9,9,10.5,Q,25,64493,
1756,Total Cohort,25Q281,EAST-WEST SCHOOL OF INTERNATIONAL STU,2005,2,s,,s,,,s,,,s,,,s,,,s,,s,,Q,25,64493,85.3
1757,Total Cohort,25Q281,EAST-WEST SCHOOL OF INTERNATIONAL STU,2006,75,64,85.3,58,77.3,90.6,20,26.7,31.3,38,50.7,59.4,6,8.0,9.4,10,13.3,0,0.0,Q,25,64493,
1758,Total Cohort,25Q285,WORLD JOURNALISM PREPARATORY: A COLLE,2005,4,s,,s,,,s,,,s,,,s,,,s,,s,,Q,25,64493,89.0
1759,Total Cohort,25Q285,WORLD JOURNALISM PREPARATORY: A COLLE,2006,82,73,89.0,66,80.5,90.4,3,3.7,4.1,63,76.8,86.3,7,8.5,9.6,8,9.8,1,1.2,Q,25,64493,
1760,Total Cohort,25Q425,JOHN BOWNE HIGH SCHOOL,2001,821,361,44.0,210,25.6,58.2,71,8.6,19.7,139,16.9,38.5,151,18.4,41.8,243,29.6,190,23.1,Q,25,64493,44.0
1761,Total Cohort,25Q425,JOHN BOWNE HIGH SCHOOL,2002,853,375,44.0,248,29.1,66.1,58,6.8,15.5,190,22.3,50.7,127,14.9,33.9,221,25.9,207,24.3,Q,25,64493,51.1
1762,Total Cohort,25Q425,JOHN BOWNE HIGH SCHOOL,2003,793,405,51.1,243,30.6,60.0,75,9.5,18.5,168,21.2,41.5,162,20.4,40.0,207,26.1,163,20.6,Q,25,64493,60.1
1763,Total Cohort,25Q425,JOHN BOWNE HIGH SCHOOL,2004,810,487,60.1,326,40.2,66.9,97,12.0,19.9,229,28.3,47.0,161,19.9,33.1,196,24.2,108,13.3,Q,25,64493,53.5
1764,Total Cohort,25Q425,JOHN BOWNE HIGH SCHOOL,2005,699,374,53.5,254,36.3,67.9,57,8.2,15.2,197,28.2,52.7,120,17.2,32.1,164,23.5,118,16.9,Q,25,64493,58.4
1765,Total Cohort,25Q425,JOHN BOWNE HIGH SCHOOL,2006,688,402,58.4,304,44.2,75.59999999999998,68,9.9,16.9,236,34.3,58.7,98,14.2,24.4,123,17.9,141,20.5,Q,25,64493,
1766,Total Cohort,25Q460,FLUSHING HIGH SCHOOL,2001,597,257,43.0,195,32.7,75.9,70,11.7,27.2,125,20.9,48.6,62,10.4,24.1,181,30.3,152,25.5,Q,25,64493,41.8
1767,Total Cohort,25Q460,FLUSHING HIGH SCHOOL,2002,636,266,41.8,194,30.5,72.9,44,6.9,16.5,150,23.6,56.4,72,11.3,27.1,185,29.1,164,25.8,Q,25,64493,47.1
1768,Total Cohort,25Q460,FLUSHING HIGH SCHOOL,2003,561,264,47.1,185,33.0,70.1,49,8.7,18.6,136,24.2,51.5,79,14.1,29.9,132,23.5,154,27.5,Q,25,64493,49.3
1769,Total Cohort,25Q460,FLUSHING HIGH SCHOOL,2004,607,299,49.3,241,39.7,80.59999999999998,62,10.2,20.7,179,29.5,59.9,58,9.6,19.4,172,28.3,130,21.4,Q,25,64493,51.9
1770,Total Cohort,25Q460,FLUSHING HIGH SCHOOL,2005,559,290,51.9,238,42.6,82.1,52,9.3,17.9,186,33.3,64.1,52,9.3,17.9,121,21.6,108,19.3,Q,25,64493,61.2
1771,Total Cohort,25Q460,FLUSHING HIGH SCHOOL,2006,588,360,61.2,293,49.8,81.4,50,8.5,13.9,243,41.3,67.5,67,11.4,18.6,84,14.3,122,20.7,Q,25,64493,
1772,Total Cohort,25Q525,TOWNSEND HARRIS HIGH SCHOOL,2001,279,279,100.0,279,100.0,100.0,279,100.0,100.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,Q,25,64493,99.2
1773,Total Cohort,25Q525,TOWNSEND HARRIS HIGH SCHOOL,2002,254,252,99.2,252,99.2,100.0,251,98.8,99.6,1,0.4,0.4,0,0.0,0.0,2,0.8,0,0.0,Q,25,64493,99.3
1774,Total Cohort,25Q525,TOWNSEND HARRIS HIGH SCHOOL,2003,274,272,99.3,272,99.3,100.0,269,98.2,98.9,3,1.1,1.1,0,0.0,0.0,2,0.7,0,0.0,Q,25,64493,99.3
1775,Total Cohort,25Q525,TOWNSEND HARRIS HIGH SCHOOL,2004,271,269,99.3,269,99.3,100.0,266,98.2,98.9,3,1.1,1.1,0,0.0,0.0,2,0.7,0,0.0,Q,25,64493,99.6
1776,Total Cohort,25Q525,TOWNSEND HARRIS HIGH SCHOOL,2005,251,250,99.6,250,99.6,100.0,249,99.2,99.6,1,0.4,0.4,0,0.0,0.0,1,0.4,0,0.0,Q,25,64493,100.0
1777,Total Cohort,25Q525,TOWNSEND HARRIS HIGH SCHOOL,2006,278,278,100.0,278,100.0,100.0,271,97.5,97.5,7,2.5,2.5,0,0.0,0.0,0,0.0,0,0.0,Q,25,64493,
1778,Total Cohort,25Q540,QUEENS ACADEMY HIGH SCHOOL,2001,196,10,5.1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,10,5.1,100.0,176,89.8,10,5.1,Q,25,64493,5.4
1779,Total Cohort,25Q540,QUEENS ACADEMY HIGH SCHOOL,2002,203,11,5.4,2,1.0,18.2,0,0.0,0.0,2,1.0,18.2,9,4.4,81.8,182,89.7,10,4.9,Q,25,64493,8.2
1780,Total Cohort,25Q540,QUEENS ACADEMY HIGH SCHOOL,2003,171,14,8.2,6,3.5,42.9,0,0.0,0.0,6,3.5,42.9,8,4.7,57.1,140,81.9,17,9.9,Q,25,64493,20.7
1781,Total Cohort,25Q540,QUEENS ACADEMY HIGH SCHOOL,2004,121,25,20.7,10,8.3,40.0,0,0.0,0.0,10,8.3,40.0,15,12.4,60.0,85,70.2,10,8.3,Q,25,64493,48.2
1782,Total Cohort,25Q540,QUEENS ACADEMY HIGH SCHOOL,2005,56,27,48.2,17,30.4,63.0,1,1.8,3.7,16,28.6,59.3,10,17.9,37.0,2,3.6,26,46.4,Q,25,64493,22.0
1783,Total Cohort,25Q540,QUEENS ACADEMY HIGH SCHOOL,2006,141,31,22.0,19,13.5,61.3,2,1.4,6.5,17,12.1,54.8,12,8.5,38.7,94,66.7,15,10.6,Q,25,64493,
1784,Total Cohort,25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHO,2001,113,87,77.0,77,68.1,88.5,28,24.8,32.2,49,43.4,56.3,10,8.800000000000002,11.5,21,18.6,4,3.5,Q,25,64493,64.6
1785,Total Cohort,25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHO,2002,113,73,64.6,60,53.1,82.2,21,18.6,28.8,39,34.5,53.4,13,11.5,17.8,19,16.8,17,15.0,Q,25,64493,76.8
1786,Total Cohort,25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHO,2003,95,73,76.8,59,62.1,80.8,0,0.0,0.0,59,62.1,80.8,14,14.7,19.2,15,15.8,7,7.4,Q,25,64493,69.0
1787,Total Cohort,25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHO,2004,126,87,69.0,79,62.7,90.8,6,4.8,6.9,73,57.9,83.9,8,6.3,9.2,31,24.6,6,4.8,Q,25,64493,75.9
1788,Total Cohort,25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHO,2005,112,85,75.9,71,63.4,83.5,18,16.1,21.2,53,47.3,62.4,14,12.5,16.5,19,17.0,7,6.3,Q,25,64493,59.7
1789,Total Cohort,25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHO,2006,159,95,59.7,84,52.8,88.4,21,13.2,22.1,63,39.6,66.3,11,6.9,11.6,44,27.7,13,8.2,Q,25,64493,
1790,Total Cohort,25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,2002,1,s,,s,,,s,,,s,,,s,,,s,,s,,Q,25,64493,
1791,Total Cohort,25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,2003,19,s,,s,,,s,,,s,,,s,,,s,,s,,Q,25,64493,9.1
1792,Total Cohort,25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,2004,66,6,9.1,3,4.5,50.0,0,0.0,0.0,3,4.5,50.0,3,4.5,50.0,55,83.3,5,7.6,Q,25,64493,12.3
1793,Total Cohort,25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,2005,106,13,12.3,8,7.5,61.5,0,0.0,0.0,8,7.5,61.5,5,4.7,38.5,79,74.5,7,6.6,Q,25,64493,19.4
1794,Total Cohort,25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,2006,62,12,19.4,7,11.3,58.3,0,0.0,0.0,7,11.3,58.3,5,8.1,41.7,41,66.1,7,11.3,Q,25,64493,
1795,Total Cohort,26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,2001,942,737,78.2,647,68.7,87.8,371,39.4,50.3,276,29.3,37.4,91,9.7,12.3,116,12.3,74,7.9,Q,26,86854,79.0
1796,Total Cohort,26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,2002,1013,800,79.0,722,71.3,90.3,370,36.5,46.3,352,34.7,44.0,78,7.7,9.8,126,12.4,54,5.3,Q,26,86854,80.59999999999998
1797,Total Cohort,26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,2003,1093,881,80.59999999999998,799,73.09999999999998,90.7,409,37.4,46.4,390,35.70000000000001,44.3,82,7.5,9.3,139,12.7,56,5.1,Q,26,86854,80.9
1798,Total Cohort,26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,2004,1086,879,80.9,779,71.7,88.6,392,36.1,44.6,387,35.6,44.0,100,9.2,11.4,143,13.2,55,5.1,Q,26,86854,77.3
1799,Total Cohort,26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,2005,1013,783,77.3,703,69.4,89.8,380,37.5,48.5,323,31.9,41.3,80,7.9,10.2,151,14.9,55,5.4,Q,26,86854,83.4
1800,Total Cohort,26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,2006,981,818,83.4,715,72.9,87.4,384,39.1,46.9,331,33.7,40.5,103,10.5,12.6,99,10.1,44,4.5,Q,26,86854,
1801,Total Cohort,26Q430,FRANCIS LEWIS HIGH SCHOOL,2001,1051,744,70.8,637,60.6,85.6,406,38.6,54.6,231,22.0,31.0,107,10.2,14.4,190,18.1,92,8.800000000000002,Q,26,86854,72.9
1802,Total Cohort,26Q430,FRANCIS LEWIS HIGH SCHOOL,2002,1007,734,72.9,641,63.7,87.3,392,38.9,53.4,249,24.7,33.9,93,9.2,12.7,149,14.8,91,9.0,Q,26,86854,77.09999999999998
1803,Total Cohort,26Q430,FRANCIS LEWIS HIGH SCHOOL,2003,1113,858,77.09999999999998,753,67.7,87.8,465,41.8,54.2,288,25.9,33.6,105,9.4,12.2,153,13.7,79,7.1,Q,26,86854,78.4
1804,Total Cohort,26Q430,FRANCIS LEWIS HIGH SCHOOL,2004,1084,850,78.4,707,65.2,83.2,469,43.3,55.2,238,22.0,28.0,143,13.2,16.8,157,14.5,58,5.4,Q,26,86854,78.2
1805,Total Cohort,26Q430,FRANCIS LEWIS HIGH SCHOOL,2005,1134,887,78.2,733,64.6,82.6,456,40.2,51.4,277,24.4,31.2,154,13.6,17.4,197,17.4,27,2.4,Q,26,86854,84.9
1806,Total Cohort,26Q430,FRANCIS LEWIS HIGH SCHOOL,2006,1209,1026,84.9,873,72.2,85.1,522,43.2,50.9,351,29.0,34.2,153,12.7,14.9,93,7.7,62,5.1,Q,26,86854,
1807,Total Cohort,26Q435,MARTIN VAN BUREN HIGH SCHOOL,2001,740,470,63.5,311,42.0,66.2,96,13.0,20.4,215,29.1,45.7,159,21.5,33.8,150,20.3,96,13.0,Q,26,86854,65.0
1808,Total Cohort,26Q435,MARTIN VAN BUREN HIGH SCHOOL,2002,671,436,65.0,315,46.9,72.2,67,10.0,15.4,248,37.0,56.9,122,18.2,28.0,124,18.5,75,11.2,Q,26,86854,68.2
1809,Total Cohort,26Q435,MARTIN VAN BUREN HIGH SCHOOL,2003,711,485,68.2,378,53.2,77.9,81,11.4,16.7,297,41.8,61.2,107,15.0,22.1,133,18.7,74,10.4,Q,26,86854,71.3
1810,Total Cohort,26Q435,MARTIN VAN BUREN HIGH SCHOOL,2004,759,541,71.3,445,58.6,82.3,77,10.1,14.2,368,48.5,68.0,96,12.6,17.7,138,18.2,70,9.2,Q,26,86854,67.4
1811,Total Cohort,26Q435,MARTIN VAN BUREN HIGH SCHOOL,2005,678,457,67.4,356,52.5,77.9,70,10.3,15.3,286,42.2,62.6,101,14.9,22.1,137,20.2,50,7.4,Q,26,86854,68.7
1812,Total Cohort,26Q435,MARTIN VAN BUREN HIGH SCHOOL,2006,755,519,68.7,397,52.6,76.5,46,6.1,8.9,351,46.5,67.6,122,16.2,23.5,152,20.1,64,8.5,Q,26,86854,
1813,Total Cohort,26Q495,BAYSIDE HIGH SCHOOL,2001,761,519,68.2,474,62.3,91.3,292,38.4,56.3,182,23.9,35.1,49,6.4,9.4,134,17.6,89,11.7,Q,26,86854,69.5
1814,Total Cohort,26Q495,BAYSIDE HIGH SCHOOL,2002,855,594,69.5,566,66.2,95.3,345,40.4,58.1,221,25.8,37.2,29,3.4,4.9,160,18.7,76,8.9,Q,26,86854,71.2
1815,Total Cohort,26Q495,BAYSIDE HIGH SCHOOL,2003,819,583,71.2,550,67.2,94.3,366,44.7,62.8,184,22.5,31.6,33,4.0,5.7,149,18.2,75,9.2,Q,26,86854,70.3
1816,Total Cohort,26Q495,BAYSIDE HIGH SCHOOL,2004,995,699,70.3,673,67.6,96.3,475,47.7,68.0,198,19.9,28.3,26,2.6,3.7,233,23.4,55,5.5,Q,26,86854,78.7
1817,Total Cohort,26Q495,BAYSIDE HIGH SCHOOL,2005,1085,854,78.7,825,76.0,96.6,578,53.3,67.7,247,22.8,28.9,29,2.7,3.4,152,14.0,56,5.2,Q,26,86854,83.9
1818,Total Cohort,26Q495,BAYSIDE HIGH SCHOOL,2006,902,757,83.9,717,79.5,94.7,453,50.2,59.8,264,29.3,34.9,40,4.4,5.3,77,8.5,58,6.4,Q,26,86854,
